record_id,entry_type,event_description,type,country,target_country,target_direction,compliance,date_announced,link,ISO_A3,ISO_A2,severity_index,lat,lng
7310920,New Entry,"Trinidad and Tobago encourages closure of private businesses and other non-essential businesses or to work from home, starting on March 15th.",Restriction of Non-Essential Businesses,Trinidad and Tobago,Domestic,,Voluntary/Recommended but No Penalties,15/03/2020,http://www.news.gov.tt/content/workplace-guidelines-closure-schools#.XoOVQi1XZQI,TTO,TT,-0.066267385,10.6918,-61.2225
355076,New Entry,"Trinidad and Tobago discourages gatherings above 25 persons. All bars to remain closed and no in-house dining for the next 14 days and religious bodies asked to limit gatherings, starting March 16th. In case this discouragement is not sufficient, it threatens to draft legislations.",Restrictions of Mass Gatherings,Trinidad and Tobago,,,Mandatory (Unspecified/Implied),16/03/2020,https://www.opm.gov.tt/prime-minister-dr-rowley-on-covid-19/,TTO,TT,-0.003581312,10.6918,-61.2225
7735117,Update on Existing Entry (type in Record ID in text box),"Trinidad and Tobago has announced to creation of Cabinet Sub Committees which will focus on education, finance and the social impact of COVID-19, March 16th.",New Task Force or Bureau,Trinidad and Tobago,,,Mandatory (Unspecified/Implied),16/03/2020,https://www.opm.gov.tt/prime-minister-dr-rowley-on-covid-19/,TTO,TT,-0.003581312,10.6918,-61.2225
473673,Update on Existing Entry (type in Record ID in text box),"Trinidad and Tobago reduces the maximum allowed size in which people are allowed to gather from 25 to 10 people, from March 18th onwards.",Restrictions of Mass Gatherings,Trinidad and Tobago,,,Mandatory (Unspecified/Implied),18/03/2020,https://www.opm.gov.tt/post-cabinet-covid-19-update-wednesday-18th-march-2020/,TTO,TT,0.05557586,10.6918,-61.2225
9767456,New Entry,Trinidad and Tobago decides to break parliament meetings for two weeks after March 20th.,Restriction of Non-Essential Government Services,Trinidad and Tobago,,,Voluntary/Recommended but No Penalties,18/03/2020,https://www.opm.gov.tt/post-cabinet-covid-19-update-wednesday-18th-march-2020/,TTO,TT,0.05557586,10.6918,-61.2225
6869405,New Entry,"Trinidad and Tobago closes international borders to all travelers, including Trinidad and Tobago nationals, and suspend all commercial flights into the country as of midnight on 22 March.",External Border Restrictions,Trinidad and Tobago,All,Inbound/Outbound,Mandatory with Legal Penalties (Jail Time),21/03/2020,https://tt.usembassy.gov/health-alert-u-s-embassy-port-of-spain-trinidad-and-tobago-march-21-2020/,TTO,TT,0.099755686,10.6918,-61.2225
8788516,New Entry,"Trinidad and Tobago expands COVID-19 testing possibilities with the aim to test anyone who meets testing criteria. Two additional PCR machines are placed at the two facilities: one at EWMSC and the other at the Trinidad Public Health Laboratory by the end of the week to assist in expanding testing, starting March 23rd.",Health Resources,Trinidad and Tobago,Trinidad and Tobago,Inbound,Voluntary/Recommended but No Penalties,23/03/2020,https://www.opm.gov.tt/media-conference-on-covid-19-monday-23rd-march-2020/,TTO,TT,0.10458291,10.6918,-61.2225
4656999,New Entry,"As of 23 March 2020, COVID-19 testing in Trinidad and Tobago has been expanded. The Caribbean Public Health Agency (CARPHA) will expand its testing to test anyone who meets any of the criteria for COVID-19 exposure.",Health Testing,Trinidad and Tobago,Trinidad and Tobago,Inbound,Mandatory with Legal Penalties (Jail Time),23/03/2020,https://www.opm.gov.tt/media-conference-on-covid-19-monday-23rd-march-2020/,TTO,TT,0.10458291,10.6918,-61.2225
6339243,New Entry,"As of 23 March, Trinidad and Tobago will suspend all permanent residence and citizenship interviews until further notice.",Restriction of Non-Essential Government Services,Trinidad and Tobago,,,Mandatory (Unspecified/Implied),23/03/2020,https://www.opm.gov.tt/media-conference-on-covid-19-monday-23rd-march-2020/,TTO,TT,0.10458291,10.6918,-61.2225
9442947,New Entry,"As of 23 March, in Trinidad and Tobago, citizens are being urged to not send their samples to private labs who claim to be doing rapid COVID-19 tests. These private labs are not equipped with PCR machines and therefore the results will be inaccurate.",Other Policy Not Listed Above,Trinidad and Tobago,,,Voluntary/Recommended but No Penalties,23/03/2020,https://www.opm.gov.tt/media-conference-on-covid-19-monday-23rd-march-2020/,TTO,TT,0.10458291,10.6918,-61.2225
